# Each line has information on a detected BGP prefix hijacking
# Format: Comma-separated columns
# Column 1: AS responsible for the hijacking
# Column 2: AS victim of the hijacking
# Column 3: Hijacking start date and time
# Column 4: Hijacking end date and time
# Missing end time indicates that the hijack has persisted
203993,3130,02/05/18 11:20,16/05/18 06:30
49393,9198,02/05/18 12:02,03/05/18 06:22
51894,4434,19/10/18 12:26,29/10/18 04:40
7489,134565,19/10/18 00:01,01/11/18 21:18
205993,207020,18/10/18 14:37,18/10/18 17:13
21287,60274,02/05/18 12:35,08/05/18 09:51
21287,60274,02/05/18 12:35,08/05/18 09:51
5580,2147483647,18/10/18 14:26,
5580,65540,18/10/18 14:26,01/11/18 05:16
206819,136162,02/05/18 14:50,14/05/18 15:09
206819,136162,02/05/18 14:50,14/05/18 15:09
201145,21277,02/05/18 16:45,02/05/18 16:48
266128,52547,02/05/18 17:39,08/05/18 13:37
5089,42337,18/10/18 12:30,19/10/18 08:37
10,5,18/10/18 01:40,18/10/18 11:14
10,5,18/10/18 01:40,18/10/18 11:14
54543,39619,17/10/18 22:51,31/10/18 21:34
54543,39619,17/10/18 22:51,31/10/18 21:34
21287,54600,02/05/18 20:41,16/05/18 05:06
64100,64101,17/10/18 17:22,31/10/18 12:15
204601,24875,17/10/18 13:01,30/10/18 11:15
132585,137443,17/10/18 12:25,30/10/18 14:49
18730,2856,17/10/18 09:47,18/10/18 19:05
37027,48137,16/10/18 21:56,30/10/18 14:49
12400,204548,16/10/18 14:37,16/10/18 15:48
1273,5602,16/10/18 02:20,16/10/18 02:24
47583,52923,16/10/18 02:13,16/10/18 02:16
133443,65540,13/10/18 07:27,14/10/18 04:42
26824,14920,12/10/18 23:40,26/10/18 05:07
134971,63969,03/05/18 05:26,04/05/18 03:23
15695,7474,12/10/18 21:28,26/10/18 05:23
40911,5,12/10/18 13:39,26/10/18 05:03
7018,53158,11/10/18 20:23,22/10/18 16:49
7018,53158,11/10/18 20:23,22/10/18 16:49
7321,51167,03/05/18 10:00,16/05/18 23:12
64400,210116,11/10/18 12:35,11/10/18 12:39
11309,132839,11/10/18 04:22,11/10/18 04:24
27651,577,10/10/18 21:00,10/10/18 21:01
210324,55002,10/10/18 18:55,10/10/18 18:56
41095,135330,03/05/18 13:16,16/05/18 23:13
8495,198949,10/10/18 14:17,10/10/18 15:34
19809,58552,10/10/18 08:52,10/10/18 10:10
7018,37447,03/05/18 23:42,03/05/18 23:43
134371,36040,10/10/18 06:00,10/10/18 06:01
206349,57463,10/10/18 01:28,10/10/18 01:59
6848,21502,09/10/18 23:20,09/10/18 23:28
39728,39130,09/10/18 14:32,23/10/18 06:07
39728,39130,09/10/18 14:32,23/10/18 06:07
60274,266563,04/05/18 01:39,11/05/18 17:02
60274,266563,04/05/18 01:39,11/05/18 17:02
43727,210222,09/10/18 13:33,22/10/18 23:02
46450,30541,04/05/18 02:03,16/05/18 23:03
21491,6983,09/10/18 05:37,17/10/18 05:02
11194,48806,09/10/18 03:06,22/10/18 10:19
11194,48806,09/10/18 03:06,22/10/18 10:19
1,27884,08/10/18 17:02,08/10/18 17:06
137532,65551,08/10/18 14:54,22/10/18 10:15
